Paper Title,Abstract,Authors,Label,Date published,Date added,Date read,Link,Read,Recorded,Parent,
Building Machines that Learn and Think Like People,,"Brenden M. Lake, Tomer D. Ullman, Joshua B. Tenenbaum, Samuel J. Gershman",Deep learning commentary,,5/20/2019,5/1/2019,https://arxiv.org/pdf/1604.00289.pdf,TRUE,FALSE,None,
Learning to Navigate in Complex Environments,,"Piotr Mirowski, Razvan Pascanu, Fabio Viola, Hubert Soyer, Andrew J. Ballard, Andrea Banino, Misha Denil, Ross Goroshin, Laurent Sifre, Koray Kavukcuoglu, Dharshan Kumaran, Raia Hadsell",Navigation,,5/20/2019,5/20/2019,https://arxiv.org/pdf/1611.03673.pdf,TRUE,TRUE,None,
Augmenting Supervised Neural Networks with Unsupervised Objectives for Large-scale Image Classification,,"Yuting Zhang, Kibok Lee, Honglak Lee",NN training methods,,5/20/2019,,https://arxiv.org/pdf/1606.06582,FALSE,FALSE,Learning to Navigate in Complex Environments,
Deep Successor Reinforcement Learning,,"Tejas D. Kulkarni, Ardavan Saeedi, Simanta Gautam, Samuel J. Gershman",Reinforcement learning,,5/20/2019,,https://arxiv.org/pdf/1606.02396,FALSE,FALSE,Learning to Navigate in Complex Environments,
A Deep Hierarchical Approach to Lifelong Learning in Minecraft,,"Chen Tessler, Shahar Givony, Tom Zahavy, Daniel J. Mankowitz, Shie Mannor",Reinforcement learning,,5/20/2019,,https://arxiv.org/pdf/1604.07255,FALSE,FALSE,Learning to Navigate in Complex Environments,
Context encoders: Feature Learning by Inpainting,,"Deepak Pathak, Philipp Krahenbuhl, Jeff Donahue, Trevor Darrell, Alexei A. Efros",Computer vision,,5/21/2019,,https://arxiv.org/pdf/1604.07379,FALSE,FALSE,Learning to Look Around: Intelligently Exploring Unseen Environments for Unknown Tasks,
Human-level concept learning through probabilistic program induction,,"Brenden M. Lake, Ruslan Salakhutdinov, Joshua B. Tenenbaum",Intelligence modeling,,5/21/2019,5/21/2019,https://web.mit.edu/cocosci/Papers/Science-2015-Lake-1332-8.pdf,TRUE,TRUE,Building Machines that Learn and Think Like People,
Learning to Look Around: Intelligently Exploring Unseen Environments for Unknown Tasks,,"Dinesh Jayaraman, Kristen Grauman",Navigation,,5/21/2019,5/21/2019,https://arxiv.org/pdf/1709.00507.pdf,TRUE,TRUE,None,
Recurrent Models of Visual Attention,,"Volodymyr Mnih, Nicolas Heess, Alex Graves, Koray Kavukcuoglu",Computer vision,,5/22/2019,5/23/2019,https://arxiv.org/pdf/1406.6247.pdf,TRUE,FALSE,Building Machines that Learn and Think Like People,
Generative Temporal Models with Memory,,"Mevlana Gemici, Chia-Chun Hung, Adam Santoro, Greg Wayne, Shakir Mohamed, Danilo J. Rezende, David Amos, Timothy Lillicrap",Generative models,,5/23/2019,,https://arxiv.org/pdf/1702.04649,FALSE,FALSE,World Models,
Replay Comes of Age,,David J. Foster,Neuroscience,,5/23/2019,,https://www.annualreviews.org/doi/10.1146/annurev-neuro-072116-031538,FALSE,FALSE,World Models,
Simple Statistical Gradient-Following Algorithms for Connectionist Reinforcement Learning,,R. J. Williams,Reinforcement learning,,5/23/2019,,http://www-anw.cs.umass.edu/~barto/courses/cs687/williams92simple.pdf,FALSE,FALSE,Recurrent Models of Visual Attention,
World Models,,"David Ha, Jurgen Schmidhuber",Reinforcement learning,,5/23/2019,,https://arxiv.org/pdf/1803.10122.pdf,TRUE,FALSE,None,
Curiosity-driven Exploration by Self-supervised Prediction,,"Deepak Pathak, Pulkit Agrawal, Alexei A. Efros, Trevor Darrell",Reinforcement learning,,5/23/2019,,https://arxiv.org/pdf/1705.05363,FALSE,FALSE,World Models,
On Learning to Think: Algorithmic Information Theory for Novel Combinations of Reinforcement Learning Controllers and Recurrent Neural World Models,,Jurgen Schmidhuber,Reinforcement learning,,5/23/2019,,https://arxiv.org/pdf/1511.09249,FALSE,FALSE,World Models,
Visualizing and Understanding Convolutional Networks,,"Mattew D. Zeiler, Rob Fergus",Computer vision,,5/27/2019,5/27/2019,https://arxiv.org/pdf/1311.2901.pdf,TRUE,FALSE,Building Machines that Learn and Think Like People,
Deep Visual Foresight for Planning Robot Motion,,"Chelsea Finn, Sergey Levine",Embodied agent,,5/27/2019,5/28/2019,https://arxiv.org/pdf/1610.00696.pdf,TRUE,TRUE,None,
Unsupervised Learning for Physical Interaction through Video Prediction,,"Chelsea Finn, Ian Goodfellow, Sergey Levin",Embodied agent,,5/27/2019,,,FALSE,FALSE,Deep Visual Foresight for Planning Robot Motion,
Learning to Poke by Poking: Experiential Learning of Intuitive Physics,,"Pulkit Agrawal, Ashvin Nair, Pieter Abbeel, Jitendra Malik, Sergey Levine",Embodied agent,,5/27/2019,,,FALSE,FALSE,Deep Visual Foresight for Planning Robot Motion,
Deep multi-scale video prediction beyond mean square error,,"Michael Mathieu, Camille Couprie, Yann LeCun",Generative models,,5/28/2019,,,FALSE,FALSE,Deep Visual Foresight for Planning Robot Motion,
Measuring the tendency of CNNs to Learn Surface Statistical Regularities,,"Jason Jo, Yoshua Bengio",Computer vision,,5/30/2019,06/01/2019,https://arxiv.org/pdf/1711.11561.pdf,TRUE,FALSE,None,
Explaining and Harnessing Adversarial Examples,,"Ian J. Goodfellow, Jonathon Shlens, Christian Szegedy",Adversarial examples,,6/7/2019,,https://arxiv.org/pdf/1412.6572.pdf,FALSE,FALSE,Measuring the tendency of CNNs to Learn Surface Statistical Regularities,
Universal Adversarial Perturbations,,"Seyed-Mohsen Moosavi-Dezfooli, Alhussein Fawzi, Omar Fawzi, Pascal Frossard",Adversarial examples,,6/7/2019,,https://arxiv.org/pdf/1610.08401.pdf,FALSE,FALSE,Measuring the tendency of CNNs to Learn Surface Statistical Regularities,
Distillation as a Defense to Adversarial Perturbations against Deep Neural Networks,,"Nicolas Papernot, Patrick McDaniel, Xi Wu, Somesh Jha, Ananthram Swami",Adversarial examples,,6/7/2019,,https://arxiv.org/pdf/1511.04508,FALSE,FALSE,Measuring the tendency of CNNs to Learn Surface Statistical Regularities,
Parseval Networks: Improving Robustness to Adversarial Examples,,"Moustapha Cisse, Piotr Bojanowski, Edouard Grave, Yann Dauphin, Nicolas Usunier",Adversarial examples,,6/7/2019,,https://arxiv.org/pdf/1704.08847.pdf,FALSE,FALSE,Measuring the tendency of CNNs to Learn Surface Statistical Regularities,
"Formal theory of Creativity, Fun, and Intrinsic Motivation",,Jurgen Schmidhuber,Intelligence modeling,,6/7/2019,,http://people.idsia.ch/~juergen/ieeecreative.pdf,FALSE,FALSE,Hierarchical Deep Reinforcement Learning: Integrating Temporal Abstraction and Intrinsic Motivation,
Hierarchical Deep Reinforcement Learning: Integrating Temporal Abstraction and Intrinsic Motivation,,"Tejas D. Kulkarni, Karthik R. Narasimhan, Ardavan Saeedi, Joshua B. Tenenbaum",Reinforcement learning,,6/7/2019,,https://arxiv.org/pdf/1604.06057.pdf,FALSE,FALSE,Building Machines that Learn and Think Like People,
Core Knowledge,,Elizabeth S. Spelke and Katherine D. Kinzler,Neuroscience,,6/27/2019,,http://dsclab.uchicago.edu/documents/Spelke%20Kinzler%20Dev%20Sci%202007.pdf,FALSE,FALSE,Building Machines that Learn and Think Like People,
Design Principles of the Hippocampal Cognitive Map,,"Kimberly L. Stachenfeld, Matthew M. Botvinick, and Samuel J. Gershman",Neuroscience,,6/27/2019,,https://papers.nips.cc/paper/5340-design-principles-of-the-hippocampal-cognitive-map.pdf,FALSE,FALSE,Hierarchical Deep Reinforcement Learning: Integrating Temporal Abstraction and Intrinsic Motivation,
The Successor Representation and Temporal Context,,"Samuel J. Gershman, Christopher D. Moore, Michael T. Todd, Kenneth A. Norman, Per B. Sederberg",Neuroscience,,6/27/2019,,http://gershmanlab.webfactional.com/pubs/Gershman12.pdf,FALSE,FALSE,Hierarchical Deep Reinforcement Learning: Integrating Temporal Abstraction and Intrinsic Motivation,
Hierarchically organized behavior and its neural foundations: A reinforcement learning perspective,,"Matthew M. Botvinick, Yael Niv, and Andrew C. Barto",Neuroscience,,6/27/2019,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2783353/,FALSE,FALSE,Hierarchical Deep Reinforcement Learning: Integrating Temporal Abstraction and Intrinsic Motivation,
Variational Information Maximisation for Intrinsically Motivated Reinforcement Learning,,"Shakir Mohamed, Danilo Jimenez Rezende",Reinforcement learning,,6/27/2019,,https://arxiv.org/pdf/1509.08731,FALSE,FALSE,Hierarchical Deep Reinforcement Learning: Integrating Temporal Abstraction and Intrinsic Motivation,
Prioritized Experience Replay,,"Tom Schaul, John Quan, Ioannis Antonoglou, David Silver",Reinforcement learning,,6/27/2019,8/20/2019,https://arxiv.org/pdf/1511.05952,TRUE,TRUE,Hierarchical Deep Reinforcement Learning: Integrating Temporal Abstraction and Intrinsic Motivation,
Deep Exploration via Bootstrapped DQN,,"Ian Osband, Charles Blundell, Alexander Pritzel, Benjamin Van Roy",Reinforcement learning,,6/27/2019,,https://arxiv.org/pdf/1602.04621,FALSE,FALSE,Hierarchical Deep Reinforcement Learning: Integrating Temporal Abstraction and Intrinsic Motivation,
Xception: Deep Learning with Depthwise Separable Convolutions,,Francois Chollet,Computer vision,,7/12/2019,7/22/2019,https://arxiv.org/pdf/1610.02357,TRUE,TRUE,sharpDARTS: Faster and More Accurate Differentiable Architecture Search,
Exploring the Limits of Weakly Supervised Pretraining,,"Dhruv Mahajan, Ross Girshick, Vignesh Ramanathan, Kaiming He, Manohar Paluri, Yixuan Li, Ashwin Bharambe, Laurens van der Maaten",Computer vision,,7/12/2019,,https://arxiv.org/pdf/1805.00932.pdf,FALSE,FALSE,None,
GPipe: Efficient Training of Giant Neural Networks using Pipeline Parallelism,,"Yanping Huang, Yonglong Cheng, Dehao Chen, HyoukJoong Lee, Jiquan Ngiam, Quoc V. Le, Zhifeng Chen",Computer vision,,7/12/2019,,https://arxiv.org/pdf/1811.06965,FALSE,FALSE,None,Notes
sharpDARTS: Faster and More Accurate Differentiable Architecture Search,,"Andrew Hundt, Varun Jain, Gregory D. Hager",Neural architecture search,,7/12/2019,,https://arxiv.org/pdf/1903.09900.pdf,FALSE,FALSE,None,
MINE: Mutual Information Neural Estimation,,"Mohamed Ishmael Belghazi, Aristide Baratin, Sai Rajeswar, Sherjil Ozair, Yoshua Bengio, Aaron Courville, R Devon Hjelm",Information theory,,7/16/2019,,https://arxiv.org/pdf/1801.04062,FALSE,FALSE,Unsupervised State Representation Learning in Atari,
Predictive Information in a Sensory Population,,"Stephanie E. Palmer, Olivier Marre, Michael J. Berry II, William Bialek",Neuroscience,,7/16/2019,,https://arxiv.org/pdf/1307.0225,FALSE,FALSE,Unsupervised State Representation Learning in Atari,
Proximal Policy Optimization Algorithms,,"John Schulman, Filip Wolski, Prafulla Dhariwal, Alec Radford, Oleg Klimov",Reinforcement learning,,7/16/2019,,https://arxiv.org/pdf/1707.06347,FALSE,FALSE,Unsupervised State Representation Learning in Atari,
Unsupervised State Representation Learning in Atari,,"Ankesh Anand, Evan Racah, Sherjil Ozair, Yoshua Bengio, Marc-Alexandre Côté, R. Devon Hjelm",Representation learning,,7/16/2019,7/18/2019,https://arxiv.org/pdf/1906.08226v2.pdf,TRUE,FALSE,None,
Representation Learning with Contrastive Predictive Coding,,"Aaron van den Oord, Yazhe Li, Oriol Vinyals",Representation learning,,7/16/2019,,https://arxiv.org/pdf/1807.03748,FALSE,FALSE,Unsupervised State Representation Learning in Atari,
Learning Deep Representations by Mutual Information Estimation and Maximization,,"R Devon Hjelm, Alex Fedorov, Samuel Lavoie-Marchildon, Karan Grewal, Phil Bachman, Adam Trischler, Yoshua Bengio",Representation learning,,7/16/2019,,https://arxiv.org/pdf/1808.06670,FALSE,FALSE,Unsupervised State Representation Learning in Atari,
MobileNets: Efficient Convolutional Neural Networks for Mobile Vision Applications,,"Andrew G. Howard, Menglong Zhu, Bo Chen, Dmitry Kalenichenko, Weijun Wang, Tobias Weyand, Marco Andreetto, Hartwig Adam",Computer vision,,7/23/2019,7/23/2019,https://arxiv.org/pdf/1704.04861,TRUE,TRUE,None,
Social Influence as Intrinsic Motivation for Multi-Agent Deep Reinforcement Learning,,"Natasha Jaques, Angeliki Lazaridou, Edward Hughes, Caglar Gulcehre, Pedro A. Ortega, DJ Strouse, Joel Z. Leibo, Nando de Freitas",Multi agent reinforcement learning,,8/6/2019,8/6/2019,https://arxiv.org/pdf/1810.08647,TRUE,FALSE,None,
How Evolution May Work Through Curiosity-Driven Developmental Process,,"P. Y. Oudeyer, L. B. Smith",Developmental Psychology,,8/7/2019,,https://www.ncbi.nlm.nih.gov/pubmed/26969919,FALSE,FALSE,Social Influence as Intrinsic Motivation for Multi-Agent Deep Reinforcement Learning,
Emergence of Linguistic Communication from Referential Games with Symbolic and Pixel Input,,"Angeliki Lazaridou, Karl Moritz Hermann, Karl Tuyls, Stephen Clark",Emergent intelligence,,8/7/2019,,https://arxiv.org/pdf/1804.03984,FALSE,FALSE,Social Influence as Intrinsic Motivation for Multi-Agent Deep Reinforcement Learning,
Emergent Communication through Negotiation,,"Kris Cao, Angeliki Lazaridou, Marc Lanctot, Joel Z Leibo, Karl Tuyls, Stephen Clark",Emergent intelligence,,8/7/2019,,https://arxiv.org/pdf/1804.03980,FALSE,FALSE,Social Influence as Intrinsic Motivation for Multi-Agent Deep Reinforcement Learning,
Emergence of Communication in an Interactive World with Consistent Speakers,,"Ben Bogin, Mor Geva, Jonathan Berant",Emergent intelligence,,8/7/2019,8/19/2019,https://arxiv.org/pdf/1809.00549,TRUE,FALSE,Social Influence as Intrinsic Motivation for Multi-Agent Deep Reinforcement Learning,
Inequity aversion improves cooperation in intertemporal social dilemmas,,"Edward Hughes, Joel Z. Leibo, Matthew G. Phillips, Karl Tuyls, Edgar A. Duéñez-Guzmán, Antonio García Castañeda, Iain Dunning, Tina Zhu, Kevin R. McKee, Raphael Koster, Heather Roff, Thore Graepel",Multi agent reinforcement learning,,8/7/2019,,https://arxiv.org/pdf/1803.08884,FALSE,FALSE,Social Influence as Intrinsic Motivation for Multi-Agent Deep Reinforcement Learning,
Consequentialist conditional cooperation in social dilemmas with imperfect information,,"Alexander Peysakhovich, Adam Lerer",Multi agent reinforcement learning,,8/7/2019,,https://arxiv.org/pdf/1710.06975,FALSE,FALSE,Social Influence as Intrinsic Motivation for Multi-Agent Deep Reinforcement Learning,
Multi-agent Reinforcement Learning in Sequential Social Dilemmas,,"Joel Z. Leibo, Vinicius Zambaldi, Marc Lanctot, Janusz Marecki, Thore Graepel",Multi agent reinforcement learning,,8/7/2019,,https://arxiv.org/pdf/1702.03037,FALSE,FALSE,Social Influence as Intrinsic Motivation for Multi-Agent Deep Reinforcement Learning,
Multi-Agent Actor-Critic for Mixed Cooperative-Competitive Environments,,"Ryan Lowe, Yi Wu, Aviv Tamar, Jean Harb, Pieter Abbeel, Igor Mordatch",Multi agent reinforcement learning,,8/7/2019,8/22/2019,https://arxiv.org/pdf/1706.02275,TRUE,TRUE,Social Influence as Intrinsic Motivation for Multi-Agent Deep Reinforcement Learning,
Optimal Rewards for Cooperative Agents,,"Bingyao Liu, Satinder Singh, Richard L. Lewis, Shiyin Qin",Multi agent reinforcement learning,,8/7/2019,,https://ieeexplore.ieee.org/document/6920028,FALSE,FALSE,Social Influence as Intrinsic Motivation for Multi-Agent Deep Reinforcement Learning,
Machine Theory of Mind,,"Neil C. Rabinowitz, Frank Perbet, H. Francis Song, Chiyuan Zhang, S.M. Ali Eslami, Matthew Botvinick",Multi agent reinforcement learning,,8/7/2019,,https://arxiv.org/pdf/1802.07740,FALSE,FALSE,Social Influence as Intrinsic Motivation for Multi-Agent Deep Reinforcement Learning,
Measuring collaborative emergent behavior in multi-agent reinforcement learning,,"Sean L. Barton, Nicholas R. Waytowich, Erin Zaroukian, Derrik E. Asher",Multi agent reinforcement learning,,8/7/2019,8/21/2019,https://arxiv.org/pdf/1807.08663,TRUE,TRUE,Social Influence as Intrinsic Motivation for Multi-Agent Deep Reinforcement Learning,
Compositional Obverter Communication Learning From Raw Visual Input,,"Edward Choi, Angeliki Lazaridou, Nando de Freitas",Reinforcement learning,,8/7/2019,,https://arxiv.org/pdf/1804.02341,FALSE,FALSE,Social Influence as Intrinsic Motivation for Multi-Agent Deep Reinforcement Learning,
Learning to Share and Hide Intentions using Information Regularization,,"DJ Strouse, Max Kleiman-Weiner, Josh Tenenbaum, Matt Botvinick, David Schwab",Reinforcement learning,,8/7/2019,,https://arxiv.org/pdf/1808.02093,FALSE,FALSE,Social Influence as Intrinsic Motivation for Multi-Agent Deep Reinforcement Learning,
Weight Uncertainty in Neural Networks,,"Charles Blundell, Julien Cornebise, Koray Kavukcuoglu, Daan Wierstra",Bayesian neural networks,,8/12/2019,,https://arxiv.org/pdf/1505.05424,FALSE,FALSE,None,
Natural Language Does Not Emerge 'Naturally' in Multi-Agent Dialog,,"Satwik Kottur, José M.F. Moura, Stefan Lee, Dhruv Batra",Emergent intelligence,,8/19/2019,8/30/2019,https://arxiv.org/pdf/1706.08502,TRUE,TRUE,Emergence of Communication in an Interactive World with Consistent Speakers,
The HSIC Bottleneck: Deep Learning without Back-Propagation,,"Wan-Duo Kurt Ma, J.P. Lewis, W. Bastiaan Kleijn",NN training methods,,8/19/2019,,https://arxiv.org/pdf/1908.01580,FALSE,FALSE,None,
The Evolution of Language,,"Martin Nowak, Krakauer DC",Linguistics,,8/20/2019,,https://www.ncbi.nlm.nih.gov/pubmed/10393942,FALSE,FALSE,Emergence of Communication in an Interactive World with Consistent Speakers,
The Role of Hippocampal Replay in Memory and Planning,,"H. Freyja Ólafsdóttir, Daniel Bush, Caswell Barry",Neuroscience,,8/20/2019,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5847173/,FALSE,FALSE,Prioritized Experience Replay,
Deep Reinforcement Learning with Double Q-Learning,,"Hado van Hasselt, Arthur Guez, David Silver",Reinforcement learning,,8/20/2019,,https://arxiv.org/pdf/1509.06461,FALSE,FALSE,Prioritized Experience Replay,
Counterfactual Multi-Agent Policy Gradients,,"Jakob Foerster, Gregory Farquhar, Triantafyllos Afouras, Nantas Nardelli, Shimon Whiteson",Multi agent reinforcement learning,,8/21/2019,,https://arxiv.org/pdf/1705.08926,FALSE,FALSE,Measuring collaborative emergent behavior in multi-agent reinforcement learning,
Emergence of Grounded Compositional Language in Multi-Agent Populations,,"Igor Mordatch, Pieter Abbeel",Emergent intelligence,,8/22/2019,,https://arxiv.org/pdf/1703.04908,FALSE,FALSE,Multi-Agent Actor-Critic for Mixed Cooperative-Competitive Environments,
Learning to Protect Communications with Adversarial Neural Cryptography,,"Martín Abadi, David G. Andersen",Emergent intelligence,,8/22/2019,,https://arxiv.org/pdf/1610.06918,FALSE,FALSE,Multi-Agent Actor-Critic for Mixed Cooperative-Competitive Environments,
Predicting Pragmatic Reasoning in Language Games,,"Michael C. Frank, Noah D. Goodman",Linguistics,,8/22/2019,,https://science.sciencemag.org/content/336/6084/998,FALSE,FALSE,Multi-Agent Actor-Critic for Mixed Cooperative-Competitive Environments,
Learning to Communicate with Deep Multi-Agent Reinforcement Learning,,"Jakob N. Foerster, Yannis M. Assael, Nando de Freitas, Shimon Whiteson",Multi agent reinforcement learning,,8/22/2019,8/29/2019,https://arxiv.org/pdf/1605.06676,TRUE,TRUE,Multi-Agent Actor-Critic for Mixed Cooperative-Competitive Environments,
Learning Multiagent Communication with Backpropagation,,"Sainbayar Sukhbaatar, Arthur Szlam, Rob Fergus",Multi agent reinforcement learning,,8/22/2019,,https://arxiv.org/pdf/1605.07736,FALSE,FALSE,Multi-Agent Actor-Critic for Mixed Cooperative-Competitive Environments,
Deep Decentralized Multi-task Multi-Agent Reinforcement Learning under Partial Observability,,"Shayegan Omidshafiei, Jason Pazis, Christopher Amato, Jonathan P. How, John Vian",Multi agent reinforcement learning,,8/22/2019,,https://arxiv.org/pdf/1703.06182,FALSE,FALSE,Multi-Agent Actor-Critic for Mixed Cooperative-Competitive Environments,
Intrinsic Motivation and Automatic Curricula via Asymmetric Self-Play,,"Sainbayar Sukhbaatar, Zeming Lin, Ilya Kostrikov, Gabriel Synnaeve, Arthur Szlam, Rob Fergus",Reinforcement learning,,8/22/2019,,https://arxiv.org/pdf/1703.05407,FALSE,FALSE,Multi-Agent Actor-Critic for Mixed Cooperative-Competitive Environments,
Policy Gradient Methods for Reinforcement Learning with Function Approximation,,"Richard S. Sutton, David McAllester, Satinder Singh, Yishay Mansour",Reinforcement learning,,8/22/2019,,https://papers.nips.cc/paper/1713-policy-gradient-methods-for-reinforcement-learning-with-function-approximation.pdf,FALSE,FALSE,Multi-Agent Actor-Critic for Mixed Cooperative-Competitive Environments,
Emergent Complexity via Multi-Agent Competition,,"Trapit Bansal, Jakub Pachocki, Szymon Sidor, Ilya Sutskever, Igor Mordatch",Emergent intelligence,,8/23/2019,,https://arxiv.org/pdf/1710.03748,FALSE,FALSE,Multi-Agent Actor-Critic for Mixed Cooperative-Competitive Environments,
Safe and Nested Subgame Solving for Imperfect-Information Games,,"Noam Brown, Tuomas Sandholm",Game theory,,8/23/2019,,https://arxiv.org/pdf/1705.02955,FALSE,FALSE,A Unified Game-Theoretic Approach to Multiagent Reinforcement Learning,
Continuous Adaptation via Meta-Learning in Nonstationary and Competitive Environments,,"Maruan Al-Shedivat, Trapit Bansal, Yuri Burda, Ilya Sutskever, Igor Mordatch, Pieter Abbeel",Meta learning,,8/23/2019,,https://arxiv.org/pdf/1710.03641,FALSE,FALSE,Multi-Agent Actor-Critic for Mixed Cooperative-Competitive Environments,
