Paper Title,Abstract,Authors,Label,Date published,Date added,Date read,Link,Read,Recorded,Parent,
A Unified Game-Theoretic Approach to Multiagent Reinforcement Learning,,"Marc Lanctot, Vinicius Zambaldi, Audrunas Gruslys, Angeliki Lazaridou, Karl Tuyls, Julien Perolat, David Silver, Thore Graepel",Multi agent reinforcement learning,,8/23/2019,,https://arxiv.org/pdf/1711.00832,FALSE,FALSE,Multi-Agent Actor-Critic for Mixed Cooperative-Competitive Environments,
Iterated Learning and the Evolution of Language,,"S. Kirby, T. Griffiths, K. Smith",Evolutionary linguistics,,8/28/2019,,https://www.research.ed.ac.uk/portal/en/publications/iterated-learning-and-the-evolution-of-language(09e19225-6133-4dcf-b6ad-aba22651244c).html,FALSE,FALSE,Emergence of Grounded Compositional Language in Multi-Agent Populations,
The Evolution of Syntactic Communication,,"Martin Nowak, J. B. Plotkin, V. A. Jansen",Evolutionary linguistics,,8/28/2019,,https://www.ncbi.nlm.nih.gov/pubmed/10761917,FALSE,FALSE,Emergence of Grounded Compositional Language in Multi-Agent Populations,
Syntax out of Learning: The Cultural Evolution of Structured Communication in a Population of Induction Algorithms,,Simon Kirby,Evolutionary linguistics,,8/28/2019,9/3/2019,https://link.springer.com/chapter/10.1007/3-540-48304-7_91,TRUE,TRUE,Emergence of Grounded Compositional Language in Multi-Agent Populations,
What Triggers the Emergence of Grammar?,,Luc Steels,Evolutionary linguistics,,8/28/2019,,http://digital.csic.es/handle/10261/128262,FALSE,FALSE,Emergence of Grounded Compositional Language in Multi-Agent Populations,
A Paradigm for Situated and Goal-Driven Language Learning,,"Jon Gauthier, Igor Mordatch",Natural language processing,,8/28/2019,,https://arxiv.org/abs/1610.03585,FALSE,FALSE,Emergence of Grounded Compositional Language in Multi-Agent Populations,
Modeling the Emergence of Language as an Embodied Collective Cognitive Activity,,"Edwin Hutchins, Christine M. Johnson",Computational cognitive science,,9/3/2019,,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1756-8765.2009.01033.x,FALSE,FALSE,Syntax out of Learning: The Cultural Evolution of Structured Communication in a Population of Induction Algorithms,
How Intrinsic Motivation Can Speed Up Language Emergence,,"Miquel Cornudella, Paul Van Eecke and Remi van Trijp",Emergent intelligence,,9/3/2019,,https://www.mitpressjournals.org/doi/pdf/10.1162/978-0-262-33027-5-ch100,FALSE,FALSE,Syntax out of Learning: The Cultural Evolution of Structured Communication in a Population of Induction Algorithms,
Language Emergence in a Population of Artificial Agents Equipped with the Autotelic Principle,,"Miquel Cornudella, Thierry Poibeau",Emergent intelligence,,9/3/2019,,https://www.aclweb.org/anthology/W15-2407,FALSE,FALSE,Syntax out of Learning: The Cultural Evolution of Structured Communication in a Population of Induction Algorithms,
Knowledge of Language,,Noam Chomsky,Evolutionary linguistics,,9/3/2019,,http://www.thatmarcusfamily.org/philosophy/Course_Websites/Readings/Chomsky%20-%20Knowledge%20of%20Language.pdf,FALSE,FALSE,Syntax out of Learning: The Cultural Evolution of Structured Communication in a Population of Induction Algorithms,
Natural Language and Natural Selection,,"Steven Pinker, Paul Bloom",Evolutionary linguistics,,9/3/2019,,https://pdfs.semanticscholar.org/dbe7/9abbbc1fc7df6ce90d263a363d99fabd3489.pdf,FALSE,FALSE,Syntax out of Learning: The Cultural Evolution of Structured Communication in a Population of Induction Algorithms,
"Learning, Bottlenecks, and the Evolution of Recursive Syntax",,Simon Kirby,Evolutionary linguistics,,9/3/2019,,"http://www.lel.ed.ac.uk/~simon/Papers/Kirby/Learning,%20Bottlenecks%20and%20the%20Evolution%20of%20Recursive%20Syntax.pdf",FALSE,FALSE,Syntax out of Learning: The Cultural Evolution of Structured Communication in a Population of Induction Algorithms,Chunking algorithm for learning grammars from examples described here.
Minimal Requirements for the Cultural Evolution of Language,,Matthew Spike,Evolutionary linguistics,,9/3/2019,,https://www.era.lib.ed.ac.uk/handle/1842/25930,FALSE,FALSE,Syntax out of Learning: The Cultural Evolution of Structured Communication in a Population of Induction Algorithms,
Panoptic Segmentation,,"Alexander Kirillov, Kaiming He, Ross Girshick, Carsten Rother, Piotr Dollár",Computer vision,,9/4/2019,9/4/2019,https://arxiv.org/abs/1801.00868,TRUE,FALSE,None,
Fast Online Object Tracking and Segmentation: A Unifying Approach,,"Qiang Wang, Li Zhang, Luca Bertinetto, Weiming Hu, Philip H.S. Torr",Computer vision,,9/6/2019,9/6/2019,https://arxiv.org/abs/1812.05050,TRUE,TRUE,None,
Video Object Segmentation by Learning Location-Sensitive Embeddings,,"Hai Ci, Chunyu Wang, Yizhou Wang",Video object segmentation,,9/6/2019,,http://openaccess.thecvf.com/content_ECCV_2018/papers/Hai_Ci_Video_Object_Segmentation_ECCV_2018_paper.pdf,FALSE,FALSE,Fast Online Object Tracking and Segmentation: A Unifying Approach,
CNN in MRF: Video Object Segmentation via Inference in A CNN-Based Higher-Order Spatio-Temporal MRF,,"Linchao Bao, Baoyuan Wu, Wei Liu",Video object segmentation,,9/6/2019,,https://arxiv.org/abs/1803.09453,FALSE,FALSE,Fast Online Object Tracking and Segmentation: A Unifying Approach,
Efficient Video Object Segmentation via Network Modulation,,"Linjie Yang, Yanran Wang, Xuehan Xiong, Jianchao Yang, Aggelos K. Katsaggelos",Video object segmentation,,9/6/2019,,https://arxiv.org/abs/1802.01218,FALSE,FALSE,Fast Online Object Tracking and Segmentation: A Unifying Approach,
End-to-end representation learning for Correlation Filter based tracking,,"Jack Valmadre, Luca Bertinetto, João F. Henriques, Andrea Vedaldi, Philip H. S. Torr",Visual tracking,,9/6/2019,,https://arxiv.org/abs/1704.06036,FALSE,FALSE,Fast Online Object Tracking and Segmentation: A Unifying Approach,
Fully-Convolutional Siamese Networks for Object Tracking,,"Luca Bertinetto, Jack Valmadre, João F. Henriques, Andrea Vedaldi, Philip H. S. Torr",Visual tracking,,9/6/2019,,https://arxiv.org/abs/1606.09549,FALSE,FALSE,Fast Online Object Tracking and Segmentation: A Unifying Approach,
High Performance Visual Tracking with Siamese Region Proposal Network,,"Bo Li, Junjie Yan, Wei Wu, Zheng Zhu, Xiaolin Hu",Visual tracking,,9/6/2019,,http://openaccess.thecvf.com/content_cvpr_2018/papers/Li_High_Performance_Visual_CVPR_2018_paper.pdf,FALSE,FALSE,Fast Online Object Tracking and Segmentation: A Unifying Approach,
Learning Dynamic Memory Networks for Object Tracking,,"Tianyu Yang, Antoni B. Chan",Visual tracking,,9/6/2019,,https://arxiv.org/abs/1803.07268,FALSE,FALSE,Fast Online Object Tracking and Segmentation: A Unifying Approach,
Graph Convolutional Tracking,,"Junyu Gao, Tianzhu Zhang, Changsheng Xu",Visual tracking,,9/6/2019,,http://openaccess.thecvf.com/content_CVPR_2019/papers/Gao_Graph_Convolutional_Tracking_CVPR_2019_paper.pdf,FALSE,FALSE,None,
Unsupervised Meta-Learning for Reinforcement Learning,,"Abhishek Gupta, Benjamin Eysenbach, Chelsea Finn, Sergey Levine",Meta learning,,9/7/2019,,https://arxiv.org/abs/1806.04640,FALSE,FALSE,Evolved Policy Gradients,
Meta-Learning via Learned Loss,,"Yevgen Chebotar, Artem Molchanov, Sarah Bechtle, Ludovic Righetti, Franziska Meier, Gaurav Sukhatme",Meta learning,,9/7/2019,9/12/2019,https://arxiv.org/abs/1906.05374,TRUE,FALSE,Evolved Policy Gradients,
Godel Machines: Fully Self-Referential Optimal Universal Self-Improvers,,Jurgen Schmidhuber,Meta learning,,9/7/2019,,ftp://ftp.idsia.ch/pub/juergen/gmAGI.pdf,FALSE,FALSE,Evolved Policy Gradients,
Meta-Learning and Universality: Deep Representations and Gradient Descent Can Approximate Any Learning Algorithm,,"Chelsea Finn, Sergey Levine",Meta learning,,9/7/2019,,https://arxiv.org/abs/1710.11622,FALSE,FALSE,Evolved Policy Gradients,
Evolved Policy Gradients,,"Rein Houthooft, Richard Y. Chen, Phillip Isola, Bradly C. Stadie, Filip Wolski, Jonathan Ho, Pieter Abbeel",Multi agent reinforcement learning,,9/7/2019,9/9/2019,https://arxiv.org/abs/1802.04821,TRUE,FALSE,None,
Evolving Intrinsic Motivations for Altruistic Behavior,,"Jane Wang, Edward Hughes, Chrisantha Fernando, Wojciech Czarnecki, Edgar Duenez-Guzman, Joel Leibo",Multi agent reinforcement learning,,9/7/2019,9/10/2019,https://dl.acm.org/citation.cfm?id=3331756,TRUE,TRUE,Evolved Policy Gradients,
Genetic Programming for Reward Function Search,,"Scott Niekum, Andrew Barto",Reinforcement learning,,9/7/2019,,https://www.ece.uvic.ca/~bctill/papers/ememcog/Niekum_etal_2010.pdf,FALSE,FALSE,Evolved Policy Gradients,
Evolution of Reward Functions for Reinforcement Learning,,"Scott Niekum, Lee Spector, Andrew Barto",Reinforcement learning,,9/7/2019,,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.479.4791&rep=rep1&type=pdf,FALSE,FALSE,Evolved Policy Gradients,
Intrinsically Motivated Reinforcement Learning: An Evolutionary Perspective,,"Satinder Singh, Richard Lewis, Andrew Barto",Reinforcement learning,,9/7/2019,,https://web.eecs.umich.edu/~baveja/Papers/IMRLIEEETAMDFinal.pdf,FALSE,FALSE,Evolved Policy Gradients,
Active Reward Learning with a Novel Acquisition Function,,"Christian Daniel, Olivia Kroemer, Malte Viering, Jan Metz, Jan Peters",Reinforcement learning,,9/7/2019,,https://dl.acm.org/citation.cfm?id=2825774,FALSE,FALSE,None,
"Reinforcement Learning, Fast and Slow",,"Mathew Botvinick, Jane Wang, Sam Ritter, Zeb Kurth-Nelson, Charles Blundell, Demis Hassabis",Reinforcement learning,,9/7/2019,9/11/2019,https://www.sciencedirect.com/science/article/pii/S1364661319300610,TRUE,TRUE,Evolving Intrinsic Motivations for Altruistic Behavior,
Reinforcement Learning with Unsupervised Auxiliary Tasks,,"Max Jaderberg, Volodymyr Mnih, Wojciech Marian Czarnecki, Tom Schaul, Joel Z Leibo, David Silver, Koray Kavukcuoglu",Reinforcement learning,,9/7/2019,,https://arxiv.org/pdf/1611.05397.pdf,FALSE,FALSE,None,
Evolution Strategies as a Scalable Alternative to Reinforcement Learning,,"Tim Salimans, Jonathan Ho, Xi Chen, Szymon Sidor, Ilya Sutskever",Evolution strategies,,9/9/2019,,https://arxiv.org/abs/1703.03864,FALSE,FALSE,Evolved Policy Gradients,
Model-Agnostic Meta-Learning for Fast Adaptation of Deep Networks,,"Chelsea Finn, Pieter Abbeel, Sergey Levine",Meta learning,,9/9/2019,,https://arxiv.org/abs/1702.08165,FALSE,FALSE,Evolved Policy Gradients,
RL2: Fast Reinforcement Learning via Slow Reinforcement Learning,,"Yan Duan, John Schulman, Xi Chen, Peter L. Bartlett, Ilya Sutskever, Pieter Abbeel",Meta learning,,9/9/2019,,https://arxiv.org/abs/1611.02779,FALSE,FALSE,Evolved Policy Gradients,
Random Gradient-Free Minimization of Convex Functions,,"Yurii Nesterov, Vladimir Spokoiny",Optimization,,9/9/2019,,https://link.springer.com/article/10.1007/s10208-015-9296-2,FALSE,FALSE,Evolved Policy Gradients,
Trust Region Policy Optimization,,"John Schulman, Sergey Levine, Philipp Moritz, Michael I. Jordan, Pieter Abbeel",Reinforcement learning,,9/9/2019,,https://arxiv.org/abs/1502.05477,FALSE,FALSE,Evolved Policy Gradients,
Count-Based Exploration with Neural Density Models,,"Georg Ostrovski, Marc G. Bellemare, Aaron van den Oord, Remi Munos",Reinforcement learning,,9/9/2019,,https://arxiv.org/abs/1703.01310,FALSE,FALSE,Evolved Policy Gradients,
Bridging the Gap Between Value and Policy Based Reinforcement Learning,,"Ofir Nachum, Mohammad Norouzi, Kelvin Xu, Dale Schuurmans",Reinforcement learning,,9/9/2019,,https://arxiv.org/abs/1702.08892,FALSE,FALSE,Evolved Policy Gradients,
Reinforcement Learning with Deep Energy-Based Policies,,"Tuomas Haarnoja, Haoran Tang, Pieter Abbeel, Sergey Levine",Reinforcement learning,,9/9/2019,,https://arxiv.org/abs/1702.08165,FALSE,FALSE,Evolved Policy Gradients,
Gradient Estimation using Stochastic Computation Graphs,,Gradient Estimation Using Stochastic Computation Graphs,Reinforcement learning,,9/9/2019,,https://arxiv.org/abs/1506.05254,FALSE,FALSE,Evolved Policy Gradients,
Reward Design via Online Gradient Ascent,,"Jonathon Sorg, Richard Lewis, Satinder Singh",Reinforcement learning,,9/9/2019,,https://papers.nips.cc/paper/4146-reward-design-via-online-gradient-ascent,FALSE,FALSE,Evolved Policy Gradients,
Exploring the Predictable,,Jurgen Schmidhuber,Reinforcement learning,,9/9/2019,,https://link.springer.com/chapter/10.1007/978-3-642-18965-4_23,FALSE,FALSE,Evolved Policy Gradients,
Horizontal Gene Transfer and the Evolution of Bacterial Cooperation,,"Sorcha McGinty, Daniel Rankin, Sam Brown",Evolutionary biology,,9/10/2019,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3038327/,FALSE,FALSE,Evolving Intrinsic Motivations for Altruistic Behavior,
A Theory of Group Selection,,David Wilson,Evolutionary theory,,9/10/2019,,https://www.pnas.org/content/72/1/143,FALSE,FALSE,Evolving Intrinsic Motivations for Altruistic Behavior,
Five Rules for the Evolution of Cooperation,,Martin Nowak,Evolutionary theory,,9/10/2019,,https://science.sciencemag.org/content/314/5805/1560,FALSE,FALSE,Evolving Intrinsic Motivations for Altruistic Behavior,
Greenbeards,,"Andy Gardner, Stuart West",Evolutionary theory,,9/10/2019,,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1558-5646.2009.00842.x,FALSE,FALSE,Evolving Intrinsic Motivations for Altruistic Behavior,
"Cultural group selection, coevolutionary processes and large-scale cooperation",,Joseph Henrich,Evolutionary theory,,9/10/2019,,https://www.sciencedirect.com/science/article/pii/S0167268103000945,FALSE,FALSE,Evolving Intrinsic Motivations for Altruistic Behavior,
Kin Selection: Fact and Fiction,,"Ashleigh Griffin, Stuart West",Evolutionary theory,,9/10/2019,,https://www.sciencedirect.com/science/article/pii/S0169534701023552,FALSE,FALSE,Evolving Intrinsic Motivations for Altruistic Behavior,
Meta-Learning by the Baldwin Effect,,"Chrisantha Thomas Fernando, Jakub Sygnowski, Simon Osindero, Jane Wang, Tom Schaul, Denis Teplyashin, Pablo Sprechmann, Alexander Pritzel, Andrei A. Rusu",Meta learning,,9/10/2019,,https://arxiv.org/abs/1806.07917,FALSE,FALSE,Evolving Intrinsic Motivations for Altruistic Behavior,
A multi-agent reinforcement learning model of common-pool resource appropriation,,"Julien Perolat, Joel Z. Leibo, Vinicius Zambaldi, Charles Beattie, Karl Tuyls, Thore Graepel",Multi agent reinforcement learning,,9/10/2019,,https://arxiv.org/abs/1707.06600,FALSE,FALSE,Evolving Intrinsic Motivations for Altruistic Behavior,
Learning with Opponent-Learning Awareness,,"Jakob N. Foerster, Richard Y. Chen, Maruan Al-Shedivat, Shimon Whiteson, Pieter Abbeel, Igor Mordatch",Multi agent reinforcement learning,,9/10/2019,,https://arxiv.org/abs/1709.04326,FALSE,FALSE,Evolving Intrinsic Motivations for Altruistic Behavior,
Cooperative Coevolution of Multi-Agent Systems,,"Chern Yong, Risto Miikkulainen",Multi agent reinforcement learning,,9/10/2019,,http://nn.cs.utexas.edu/downloads/papers/yong.tr287.pdf,FALSE,FALSE,Evolving Intrinsic Motivations for Altruistic Behavior,
Population Based Training of Neural Networks,,"Max Jaderberg, Valentin Dalibard, Simon Osindero, Wojciech M. Czarnecki, Jeff Donahue, Ali Razavi, Oriol Vinyals, Tim Green, Iain Dunning, Karen Simonyan, Chrisantha Fernando, Koray Kavukcuoglu",NN training methods,,9/10/2019,,https://arxiv.org/abs/1711.09846,FALSE,FALSE,Evolving Intrinsic Motivations for Altruistic Behavior,
IMPALA: Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures,,"Lasse Espeholt, Hubert Soyer, Remi Munos, Karen Simonyan, Volodymir Mnih, Tom Ward, Yotam Doron, Vlad Firoiu, Tim Harley, Iain Dunning, Shane Legg, Koray Kavukcuoglu",Reinforcement learning,,9/10/2019,,https://arxiv.org/abs/1802.01561,FALSE,FALSE,Evolving Intrinsic Motivations for Altruistic Behavior,
Where Do Rewards Come From?,,"Satinder Singh, Richard Lewis, Andrew Barto",Reinforcement learning,,9/10/2019,9/16/2019,http://www-anw.cs.umass.edu/legacy/pubs/2009/singh_l_b_09.pdf,TRUE,TRUE,Evolving Intrinsic Motivations for Altruistic Behavior,
Nice Guys Finish First: The Competitive Altruism Hypothesis,,"Charlie Hardy, Mark Van Vugt",Social psychology,,9/10/2019,,https://journals.sagepub.com/doi/abs/10.1177/0146167206291006,FALSE,FALSE,Evolving Intrinsic Motivations for Altruistic Behavior,
Deep Learning: A Critcal Appraisal,,Gary Marcus,Deep learning commentary,,9/11/2019,,https://arxiv.org/abs/1801.00631,FALSE,FALSE,"Reinforcement Learning, Fast and Slow",
How Learning Can Guide Evolution,,"Geoffrey Hinton, Steven Nowlan",Evolutionary theory,,9/11/2019,,https://pdfs.semanticscholar.org/5d6c/84e7cd46d0a520ad6784a0f7f6825ef83685.pdf,FALSE,FALSE,"Reinforcement Learning, Fast and Slow",
"Been There, Done That: Meta-Learning with Episodic Recall",,"Samuel Ritter, Jane X. Wang, Zeb Kurth-Nelson, Siddhant M. Jayakumar, Charles Blundell, Razvan Pascanu, Matthew Botvinick",Meta learning,,9/11/2019,,https://arxiv.org/abs/1805.09692,FALSE,FALSE,"Reinforcement Learning, Fast and Slow",
Toward an Integration of Deep Learning and Neuroscience,,"Adam Marblestone, Greg Wayne, Konrad Kording",Neuroscience,,9/11/2019,,https://arxiv.org/abs/1606.03813,FALSE,FALSE,"Reinforcement Learning, Fast and Slow",
Reinforcement Learning and Episode Memory in Humans and Animals: An Integrative Framework,,"Samuel Gershman, Nathaniel Daw",Neuroscience,,9/11/2019,,http://gershmanlab.webfactional.com/pubs/GershmanDaw17.pdf,FALSE,FALSE,"Reinforcement Learning, Fast and Slow",
What is a Cognitive Map? Organizing Knowledge for Flexible Behavior,,"Timothy Behrens, Timothy Muller, James Whittington, Shirley Mark,  Alon Baram, Kimberly Stachenfeld, ZebKurth-Nelson",Neuroscience,,9/11/2019,,https://www.sciencedirect.com/science/article/abs/pii/S0896627318308560,FALSE,FALSE,"Reinforcement Learning, Fast and Slow",
Hippocampal Pattern Separation Supports Reinforcement Learning,,"Ian Ballard, Anthony Wagner, Samuel McClure",Neuroscience,,9/11/2019,,https://www.ncbi.nlm.nih.gov/pubmed/30842581,FALSE,FALSE,"Reinforcement Learning, Fast and Slow",
Why there are complementary learning systems in the hippocampus and neocortex: insights from the successes and failures of connectionist models of learning and memory.,,"James McClelland, Bruce McNaughton, Randall O'Reilly",Neuroscience,,9/11/2019,,https://www.ncbi.nlm.nih.gov/pubmed/7624455,FALSE,FALSE,"Reinforcement Learning, Fast and Slow",
Goals and Habits in the Brain,,"Ray Dolan, Peter Dayan",Neuroscience,,9/11/2019,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3807793/,FALSE,FALSE,"Reinforcement Learning, Fast and Slow",
Prefrontal cortex as a meta-reinforcement learning system,,"Jane X. Wang, Zeb Kurth-Nelson, Dharshan Kumaran, Dhruva Tirumala, Hubert Soyer, Joel Z. Leibo, Demis Hassabis & Matthew Botvinick","Neuroscience, meta learning",,9/11/2019,,https://www.ncbi.nlm.nih.gov/pubmed/29760527,FALSE,FALSE,"Reinforcement Learning, Fast and Slow",
Neural Circuitry of Reward Prediction Error,,"Mitsuko Watabe-Uchida, Neir Eshel, Naoshige Uchida","Neuroscience, reinforcement learning",,9/11/2019,,https://www.ncbi.nlm.nih.gov/pubmed/28441114,FALSE,FALSE,"Reinforcement Learning, Fast and Slow",
"Train Faster, Generalize Better: Stability of Stochastic Gradient Descent",,"Moritz Hardt, Benjamin Recht, Yoram Singer",Optimization,,9/11/2019,,https://arxiv.org/abs/1509.01240,FALSE,FALSE,"Reinforcement Learning, Fast and Slow",
Neural Episodic Control,,"Alexander Pritzel, Benigno Uria, Sriram Srinivasan, Adrià Puigdomènech, Oriol Vinyals, Demis Hassabis, Daan Wierstra, Charles Blundell",Reinforcement learning,,9/11/2019,,https://arxiv.org/abs/1703.01988,FALSE,FALSE,"Reinforcement Learning, Fast and Slow",
Unsupervised Predictive Memory in a Goal Directed Agent,,"Greg Wayne, Chia-Chun Hung, David Amos, Mehdi Mirza, Arun Ahuja, Agnieszka Grabska-Barwinska, Jack Rae, Piotr Mirowski, Joel Z. Leibo, Adam Santoro, Mevlana Gemici, Malcolm Reynolds, Tim Harley, Josh Abramson, Shakir Mohamed, Danilo Rezende, David Saxton, Adam Cain, Chloe Hillier, David Silver, Koray Kavukcuoglu, Matt Botvinick, Demis Hassabis, Timothy Lillicrap","Reinforcement learning, meta learning",,9/11/2019,,https://arxiv.org/abs/1803.10760,FALSE,FALSE,"Reinforcement Learning, Fast and Slow",
Unsupervised Learning via Meta Learning,,"Kyle Hsu, Sergey Levine, Chelsea Finn",Meta learning,,9/12/2019,,https://arxiv.org/abs/1810.02334,FALSE,FALSE,Meta Learning via Learned Loss,
Learning to learn by gradient descent by gradient descent,,"Marcin Andrychowicz, Misha Denil, Sergio Gomez, Matthew W. Hoffman, David Pfau, Tom Schaul, Brendan Shillingford, Nando de Freitas",Meta learning,,9/12/2019,,https://arxiv.org/abs/1606.04474,FALSE,FALSE,Meta Learning via Learned Loss,
Reward Shaping via Meta-Learning,,"Haosheng Zou, Tongzheng Ren, Dong Yan, Hang Su, Jun Zhu",Meta learning,,9/12/2019,,https://arxiv.org/abs/1901.09330,FALSE,FALSE,Meta Learning via Learned Loss,
Learning to Teach with Dynamic Loss Functions,,"Lijun Wu, Fei Tian, Yingce Xia, Yang Fan, Tao Qin, Jianhuang Lai, Tie-Yan Liu",Meta learning,,9/12/2019,,https://arxiv.org/abs/1810.12081,FALSE,FALSE,Meta Learning via Learned Loss,
Autocurricula and the Emergence of Innovation from Social Interaction: A Manifesto for Multi-Agent Intelligence Research,,"Joel Z. Leibo, Edward Hughes, Marc Lanctot, Thore Graepel","Emergent intelligence, multi agent reinforcement learning",,9/16/2019,,https://arxiv.org/abs/1903.00742,FALSE,FALSE,None,
Malthusian Reinforcement Learning,,"Joel Z. Leibo, Julien Perolat, Edward Hughes, Steven Wheelwright, Adam H. Marblestone, Edgar Duéñez-Guzmán, Peter Sunehag, Iain Dunning, Thore Graepel","Emergent intelligence, multi agent reinforcement learning",,9/16/2019,,https://arxiv.org/abs/1812.07019,FALSE,FALSE,None,
Neuronal Reward and Decision Signals: From Theories to Data,,Wolfram Schultz,"Neuroscience, reinforcement learning",,9/16/2019,,https://www.physiology.org/doi/full/10.1152/physrev.00023.2014,FALSE,FALSE,Where Do Rewards Come From?,